,,c0,c0,c0,c0,c0,h0,h0,h0,h0,h0,h1,h1,h1,h1,h1,h2,h2,h2,h2,h2,op,op,op,op,op,all,all,all,all,all
error_type,,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3
model_seed,error_profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,LIM_10-6404,0.4263,0.9922,0.4148,0.9922,0.9922,0.988,0.9922,0.9878,0.9917,0.9911,0.9911,0.9914,0.9917,0.9917,0.9906,0.9122,0.9919,0.9036,0.9911,0.9911,0.9724,0.9922,0.9789,0.9898,0.9898,0.374,0.9909,0.35,0.9883,0.9872
1023,LIM_10-9387,0.3648,0.9922,0.3805,0.9922,0.9922,0.9878,0.9919,0.9883,0.9909,0.9917,0.9914,0.9917,0.9919,0.9914,0.9919,0.9107,0.9917,0.9099,0.9911,0.9911,0.9758,0.9922,0.9745,0.9904,0.9911,0.3159,0.9911,0.3279,0.9875,0.9896
1023,LIM_20-2188,0.2253,0.9922,0.268,0.9922,0.9922,0.9854,0.9917,0.9854,0.9909,0.9919,0.9891,0.9909,0.9906,0.9911,0.9904,0.8451,0.9919,0.8466,0.9906,0.9904,0.9547,0.9922,0.9539,0.9888,0.9891,0.1841,0.9901,0.2,0.9865,0.9857
1023,LIM_20-3987,0.1935,0.9922,0.1844,0.9922,0.9922,0.9883,0.9911,0.9846,0.9914,0.9917,0.9898,0.9911,0.9914,0.9904,0.9909,0.8518,0.9911,0.8505,0.9911,0.9909,0.9555,0.9911,0.9557,0.988,0.9867,0.1477,0.9888,0.1354,0.9859,0.9826
1023,LIM_20-4981,0.2245,0.9922,0.2479,0.9922,0.9919,0.9854,0.9919,0.9852,0.9909,0.9909,0.9909,0.9909,0.9896,0.9906,0.9911,0.8221,0.9914,0.8289,0.9919,0.9906,0.9583,0.9922,0.9586,0.9885,0.9878,0.1698,0.9893,0.1885,0.9872,0.9852
1023,LIM_20-6404,0.2505,0.9922,0.275,0.9922,0.9922,0.9854,0.9919,0.9852,0.9914,0.9911,0.9896,0.9909,0.9904,0.9904,0.9911,0.8289,0.9911,0.8388,0.9898,0.9898,0.9591,0.9922,0.9557,0.987,0.9875,0.1792,0.9909,0.2104,0.9826,0.9857
1023,LIM_20-9387,0.2513,0.9922,0.2313,0.9922,0.9922,0.9831,0.9917,0.9852,0.9911,0.9906,0.9909,0.9909,0.9893,0.9901,0.9906,0.8276,0.9911,0.8305,0.9901,0.9917,0.9573,0.9922,0.9557,0.9901,0.9883,0.1922,0.9904,0.1776,0.9867,0.9872
1023,LIM_50-2188,0.1732,0.9922,0.1891,0.9919,0.9922,0.9737,0.9904,0.9753,0.9909,0.9904,0.9867,0.9896,0.9893,0.9888,0.9898,0.6805,0.9898,0.6898,0.9898,0.9885,0.9117,0.9917,0.9154,0.9839,0.9799,0.1318,0.9872,0.1102,0.9784,0.976
1023,LIM_50-3987,0.1672,0.9917,0.1536,0.9919,0.9919,0.9727,0.9906,0.9711,0.9906,0.9898,0.9885,0.9904,0.9896,0.9896,0.9904,0.6888,0.9906,0.6919,0.9885,0.9888,0.9151,0.9922,0.9086,0.9805,0.9799,0.1195,0.9891,0.1182,0.9745,0.9721
1023,LIM_50-4981,0.1789,0.9919,0.1708,0.9919,0.9917,0.9742,0.9909,0.9755,0.9906,0.9898,0.9904,0.9906,0.9878,0.9896,0.9898,0.6471,0.9901,0.6461,0.9901,0.9898,0.9253,0.9917,0.9112,0.9844,0.9849,0.1253,0.9878,0.1227,0.9792,0.9815
1023,LIM_50-6404,0.1862,0.9919,0.1609,0.9917,0.9922,0.9742,0.9911,0.9745,0.9909,0.9898,0.9872,0.9901,0.9893,0.9896,0.9898,0.6221,0.9893,0.6471,0.9901,0.9896,0.9107,0.9922,0.8997,0.9815,0.9786,0.1201,0.9885,0.1229,0.9755,0.9721
1023,LIM_50-9387,0.1641,0.9922,0.1648,0.9919,0.9922,0.9724,0.9906,0.9789,0.9906,0.9911,0.9883,0.9904,0.9888,0.9893,0.9901,0.6654,0.9906,0.6513,0.9901,0.9891,0.9091,0.9922,0.9172,0.9841,0.981,0.1188,0.9896,0.1289,0.9779,0.9742
